label,precision,recall,f1-score,support
Звезда,1.0,1.0,1.0,60.0
Квадрат,0.9808,0.85,0.9107,60.0
Круг,0.8824,1.0,0.9375,60.0
Треугольник,0.9833,0.9833,0.9833,60.0
macro avg,0.9616,0.9583,0.9579,240.0
weighted avg,0.9616,0.9583,0.9579,240.0
